from_id;to_id;fromid_toid;route_number;at;from_x;from_y;to_x;to_y;total_route_time;route_time;route_distance;route_total_lines
5807270;5814548;5807270_5814548;1;08:10;18.0715972;59.3091487;18.0900702;59.3274161;62.8095746;63.8796211;9120.9728828;3
5800860;5813108;5800860_5813108;1;08:10;18.0658924;59.3877461;18.0421721;59.3079419;83.8267506;85.1239344;10918.6411340;2
5805390;5817158;5805390_5817158;4;08:10;18.0027096;59.3265600;18.0276828;59.3085658;142.8083640;138.4989656;11327.4226781;2
5805191;5817400;5805191_5817400;2;08:10;18.0221972;59.3129515;18.0592350;59.3894191;72.4615612;117.2012476;11165.3161290;1
5805734;5813170;5805734_5813170;3;08:10;18.0231075;59.3888748;18.0912363;59.3191867;87.2167024;42.7167421;18614.1650383;3
5806265;5819874;5806265_5819874;3;08:10;18.0671893;59.3955651;18.0210662;59.3323372;93.2076883;46.5204591;15710.4896670;2
5800466;5812255;5800466_5812255;4;08:10;18.0019711;59.3862128;18.0622967;59.3226656;93.9404990;86.3931377;14118.5782114;2
5804426;5811154;5804426_5811154;1;08:10;18.0104109;59.3809516;18.0631560;59.3354996;111.2939582;130.9220206;9640.5907679;2
5805578;5814499;5805578_5814499;2;08:10;18.0799916;59.3655242;18.0733113;59.3069424;144.3075838;93.8701798;17356.8557633;2
5808322;5816295;5808322_5816295;1;08:10;18.0178545;59.3550857;18.0131568;59.3519060;74.0692712;89.7812508;19325.9076723;2
5801685;5816197;5801685_5816197;1;08:10;18.0652746;59.3086987;18.0715825;59.3067613;62.1501376;50.5473700;17317.9742383;2
5800769;5819888;5800769_5819888;1;08:10;18.0238183;59.3408453;18.0909033;59.3800357;69.7470490;105.6780105;5023.4765779;1
5806949;5811648;5806949_5811648;1;08:10;18.0099441;59.3372689;18.0179683;59.3233712;138.6924900;122.2103161;14546.0205528;3
5802433;5815539;5802433_5815539;3;08:10;18.0243172;59.3259754;18.0237543;59.3540012;114.5810813;78.0420008;5767.0307216;3
5805311;5819637;5805311_5819637;3;08:10;18.0722267;59.3723420;18.0971395;59.3880079;78.5906789;117.5611851;8864.1083050;2
5805051;5814199;5805051_5814199;1;08:10;18.0855696;59.3495876;18.0180977;59.3650877;131.5946939;136.4476654;5892.8705052;3
5806420;5818445;5806420_5818445;2;08:10;18.0830220;59.3081046;18.0854385;59.3532958;136.1369996;60.3766459;14056.9317942;3
5801184;5812557;5801184_5812557;4;08:10;18.0397184;59.3220183;18.0492278;59.3324334;134.6514339;92.3329631;15298.8487024;3
5804555;5815592;5804555_5815592;2;08:10;18.0668085;59.3683259;18.0247231;59.3333002;141.8926534;68.7137958;6717.3145710;2
5803385;5810098;5803385_5810098;2;08:10;18.0204984;59.3076131;18.0870750;59.3669487;75.2241020;119.2854419;10757.5832457;2
5806396;5812200;5806396_5812200;2;08:10;18.0293148;59.3851207;18.0445305;59.3994139;125.5041929;97.7593366;11843.5476343;3
5808666;5812961;5808666_5812961;1;08:10;18.0896336;59.3495147;18.0514817;59.3661839;96.0539497;103.4582418;10535.7953264;3
5809274;5814973;5809274_5814973;3;08:10;18.0013002;59.3480587;18.0359233;59.3557783;134.1998553;119.7914160;6815.3750073;2
5802558;5814433;5802558_5814433;2;08:10;18.0085509;59.3592408;18.0592951;59.3730651;122.8490677;79.5970473;11284.2168528;1
5807849;5812869;5807849_5812869;1;08:10;18.0207886;59.3824681;18.0163524;59.3465206;127.6447446;131.5090068;16267.6707171;3
5802047;5810956;5802047_5810956;2;08:10;18.0026532;59.3347809;18.0391082;59.3060142;115.6161838;93.3028867;6065.1149680;1
5802747;5818352;5802747_5818352;2;08:10;18.0181435;59.3678016;18.0969412;59.3562297;67.7428769;55.7954823;6202.7002112;3
5809167;5815699;5809167_5815699;1;08:10;18.0583042;59.3565732;18.0258133;59.3957625;104.5026919;109.5899118;10321.5693775;1
5809998;5816944;5809998_5816944;3;08:10;18.0421425;59.3267028;18.0656737;59.3175303;148.4669740;119.3261350;19125.8856743;1
5800189;5814493;5800189_5814493;3;08:10;18.0892672;59.3878630;18.0325190;59.3690005;143.7388066;71.6761677;15028.5897008;1
5802734;5819492;5802734_5819492;4;08:10;18.0817444;59.3797426;18.0773473;59.3200934;54.3173736;125.7179257;15180.0493501;2
5803005;5814911;5803005_5814911;1;08:10;18.0341817;59.3658452;18.0130874;59.3535828;66.4814816;130.6143255;10428.7998626;1
5804658;5813987;5804658_5813987;4;08:10;18.0259423;59.3850582;18.0969821;59.3096676;63.1728773;67.6904487;13904.9118681;1
5801899;5819719;5801899_5819719;4;08:10;18.0379692;59.3867294;18.0453790;59.3450371;122.5979910;138.3521473;5151.9677604;1
5807734;5816015;5807734_5816015;4;08:10;18.0590295;59.3708363;18.0236050;59.3756163;131.7785330;54.0711528;14541.4406961;3
5801267;5811218;5801267_5811218;3;08:10;18.0268064;59.3837013;18.0073497;59.3347572;71.3511366;60.2015668;18699.3042136;1
5801528;5814496;5801528_5814496;1;08:10;18.0624149;59.3697471;18.0169758;59.3664912;100.5852693;58.4224839;14188.6020252;3
5803556;5814735;5803556_5814735;4;08:10;18.0409412;59.3680141;18.0519774;59.3795450;134.0703028;129.3989710;18105.4789020;1
5803890;5814555;5803890_5814555;1;08:10;18.0552047;59.3618611;18.0337003;59.3927178;123.2801545;105.4292552;15859.5958320;1
5808838;5819146;5808838_5819146;1;08:10;18.0436127;59.3752717;18.0828883;59.3234642;104.2237205;55.2104283;6808.3762461;2
5805393;5818050;5805393_5818050;3;08:10;18.0294466;59.3158605;18.0430888;59.3399316;109.0347690;84.0323418;18536.7996093;3
5808792;5813446;5808792_5813446;4;08:10;18.0948453;59.3880871;18.0248714;59.3152416;100.8360547;101.5298025;5996.6576653;1
5808433;5811045;5808433_5811045;4;08:10;18.0763606;59.3871844;18.0617145;59.3992484;79.7548451;48.3464085;13009.5120882;3
5807513;5816893;5807513_5816893;1;08:10;18.0140113;59.3029247;18.0706777;59.3927001;106.5021993;128.2416368;7132.0568569;3
5802612;5811693;5802612_5811693;2;08:10;18.0868468;59.3825817;18.0167042;59.3539957;118.8885302;120.3603535;5175.5991610;2
5807041;5813436;5807041_5813436;3;08:10;18.0487431;59.3128870;18.0167619;59.3842033;137.3322916;90.5206774;11330.5139019;2
5809555;5818754;5809555_5818754;3;08:10;18.0894552;59.3335119;18.0036671;59.3520958;113.6291354;136.7126615;9425.6106148;2
5806235;5815895;5806235_5815895;3;08:10;18.0799855;59.3743508;18.0736402;59.3623586;126.1121537;81.7760979;12290.0074070;2
5805486;5813354;5805486_5813354;3;08:10;18.0425214;59.3160760;18.0663805;59.3089124;66.0071635;138.4110319;13657.9983010;2
5807099;5810225;5807099_5810225;4;08:10;18.0022469;59.3817967;18.0474631;59.3755270;96.1557474;106.7919999;5656.0860846;2
5809670;5814893;5809670_5814893;4;08:10;18.0268677;59.3832134;18.0844170;59.3127713;50.9331620;103.4671273;6845.0494269;2
5800775;5817022;5800775_5817022;2;08:10;18.0541634;59.3507468;18.0805670;59.3826068;74.6678865;56.5954895;13379.6359468;2
5808226;5819151;5808226_5819151;3;08:10;18.0633478;59.3006386;18.0585354;59.3782028;122.6461715;128.1927758;10147.5102976;1
5803152;5815600;5803152_5815600;3;08:10;18.0257888;59.3287038;18.0868271;59.3708745;149.1809951;82.7489688;15937.6023132;3
